,Stock,Stock,Stock,Stock,Stock,Stock,US Portfolio,US Portfolio,US Portfolio,US Portfolio,US Portfolio,US Portfolio,Country Port,Country Port,Country Port,Country Port,Country Port,Country Port,US Riskfree
,Barrick,Hanson,IBM,Nokia,Telefonos,YPF,Small-Growth,Small-Neutral,Small-Value,Big-Growth,Big-Neutral,Big-Value,Australia,Hong Kong,Italy,Japan,Norway,US,US Riskfree
Jul-98,-0.206425154,-0.044133477,-0.148567729,-0.234424498,-0.284228769,-0.235900963,-0.0767,-0.0779,-0.0661,-0.005,-0.0304,-0.0391,-0.0015,-0.0772,0.0975,-0.0102,0.0139,-0.0233,0.004
Jun-98,-0.149418605,-0.150434385,0.1540904,0.198734177,0.035906643,-0.027424749,0.0074,-0.009,0.0032,0.0584,0.0157,0.0243,-0.0012,-0.0688,-0.0574,0.0069,-0.0336,0.032,0.0041
May-98,0,0.025316456,-0.022814382,0.120567376,0.022018349,-0.033613445,-0.0744,-0.0464,-0.0257,-0.0258,-0.0236,0.0102,-0.0455,-0.1425,0.0496,-0.0481,-0.0849,-0.0258,0.004
Apr-98,-0.133937563,-0.006057782,0.015946597,-0.02892562,-0.161538462,-0.102147417,0.0078,0.015,0.0217,0.0119,0.0158,0.004,-0.0148,-0.1056,-0.0326,-0.0085,0.0537,0.0109,0.0043
Mar-98,0.037617555,0.006566604,0.11540848,0.23890785,0.004636785,0.026206075,0.0445,0.0454,0.0474,0.0459,0.0517,0.0763,-0.0044,-0.0248,0.2122,-0.0679,0.0873,0.0513,0.0039
Feb-98,0.119953189,0.199774902,-0.005348694,0.085185185,0.119377163,0.074903969,0.0829,0.0707,0.0718,0.0722,0.0776,0.0687,0.0256,0.2169,0.0471,0.0057,0.0393,0.0732,0.0039
Jan-98,-0.003498542,0.137644046,0.059734031,0.326781327,0.03030303,0.046215673,-0.0032,-0.0152,-0.0072,0.0296,-0.0219,-0.0023,0.0649,-0.155,0.1116,0.0959,-0.0705,0.0045,0.0043
Dec-97,0.040024257,-0.032817337,-0.05617284,0.091152815,-0.122065728,-0.109719738,-0.0216,0.0108,0.0218,0.0099,0.0293,0.0418,0.0217,0.0155,0.0784,-0.066,-0.0056,0.0178,0.0048
Nov-97,0.124829468,-0.115068493,-0.04462355,-0.16367713,0.141071429,0.016979988,-0.0305,-0.0083,0.004,0.048,0.0341,0.0326,-0.0242,-0.0233,0.017,-0.0654,-0.0676,0.0305,0.0039
Oct-97,-0.186910704,0.019553073,0.113860302,-0.057082452,0.147540984,0.057729314,-0.0609,-0.0339,-0.023,-0.0346,-0.0311,-0.027,-0.1298,-0.286,-0.0546,-0.0841,-0.0318,-0.0345,0.0042
Sep-97,-0.167205543,0.057294743,-0.070614571,-0.059642147,-0.164383562,-0.130992196,0.0897,0.0787,0.0782,0.0509,0.0595,0.0568,0.0643,0.0562,0.1495,-0.0191,0.1059,0.0584,0.0044
Aug-97,0.085213033,0.021726011,0.045531915,0.212048193,0.138401559,0.130434783,0.0385,0.0323,0.0319,-0.0577,-0.0334,-0.0296,-0.0683,-0.1324,-0.0227,-0.0896,0.006,-0.0363,0.0041
Jul-97,-0.002998501,-0.051516886,-0.039640376,-0.095860566,-0.172580645,0.014705882,0.0493,0.0546,0.0547,0.0775,0.0903,0.064,-0.0055,0.0597,0.0534,-0.0301,0.0195,0.0765,0.0043
Jun-97,0.043274244,0.01216686,0.171934866,0.162025316,0.156716418,0.051075269,0.0382,0.0572,0.0649,0.0416,0.0464,0.0272,0.0408,0.0446,0.0927,0.0674,0.0176,0.0441,0.0037
May-97,-0.13369467,-0.024307518,0.043217587,0.115819209,0.091649695,0.029045643,0.1537,0.0976,0.0786,0.0701,0.0587,0.0591,0.028,0.1227,-0.0036,0.1305,0.0539,0.0716,0.0049
